,date,open,high,low,close,tick_volume,spread,real_volume
4292,2018-07-06,146.254,146.785,146.019,146.712,248858,0,0
4293,2018-07-09,146.993,147.617,146.122,146.951,275877,0,0
4294,2018-07-10,146.928,147.794,146.811,147.368,244209,0,0
4295,2018-07-11,147.298,148.133,146.808,147.875,336460,0,0
4296,2018-07-12,147.863,148.9,147.784,148.596,200636,0,0
4297,2018-07-13,148.593,148.728,147.641,148.702,193197,0,0
4298,2018-07-16,148.295,149.313,148.295,148.61,186780,0,0
4299,2018-07-17,148.59,149.094,147.578,148.052,266060,0,0
4300,2018-07-18,148.011,148.235,146.865,147.472,243370,0,0
4301,2018-07-19,147.452,147.6,146.157,146.354,285635,0,0
4302,2018-07-20,146.346,146.663,145.975,146.335,312499,0,0
4303,2018-07-23,146.158,146.432,145.677,145.868,229125,0,0
4304,2018-07-24,145.834,146.328,145.457,146.158,223372,0,0
4305,2018-07-25,146.119,146.523,145.769,146.377,240554,0,0
4306,2018-07-26,146.329,146.521,145.763,145.812,220043,0,0
4307,2018-07-27,145.754,145.824,145.269,145.429,184423,0,0
4308,2018-07-30,145.446,145.93,145.268,145.847,165260,0,0
4309,2018-07-31,145.788,147.021,145.334,146.815,242816,0,0
4310,2018-08-01,146.742,147.148,146.314,146.619,213712,0,0
4311,2018-08-02,146.608,146.674,144.994,145.316,226012,0,0
4312,2018-08-03,145.294,145.551,144.512,144.68,205989,0,0
4313,2018-08-06,144.658,144.741,144.044,144.191,130328,0,0
4314,2018-08-07,144.169,144.439,143.809,144.105,147956,0,0
4315,2018-08-08,144.093,144.284,142.733,142.94,158910,0,0
4316,2018-08-09,142.927,143.495,142.352,142.455,166571,0,0
4317,2018-08-10,142.406,142.582,140.939,141.649,298227,0,0
4318,2018-08-13,140.754,141.838,140.242,141.338,266879,0,0
4319,2018-08-14,141.334,142.475,141.006,141.362,216760,0,0
4320,2018-08-15,141.378,141.77,139.897,140.615,234574,0,0
4321,2018-08-16,140.559,141.333,140.209,140.971,241292,0,0
4322,2018-08-17,140.95,141.169,140.229,140.893,200564,0,0
4323,2018-08-20,140.927,141.224,140.721,140.84,146645,0,0
4324,2018-08-21,140.812,142.681,140.669,142.291,198719,0,0
4325,2018-08-22,142.254,142.802,142.001,142.766,197763,0,0
4326,2018-08-23,142.688,143.011,142.426,142.617,135843,0,0
4327,2018-08-24,142.515,143.241,142.502,142.958,140054,0,0
4328,2018-08-27,142.916,143.285,142.531,143.212,95250,0,0
4329,2018-08-28,143.166,143.668,143.048,143.114,117669,0,0
4330,2018-08-29,143.092,145.568,142.824,145.497,146144,0,0
4331,2018-08-30,145.425,145.69,144.382,144.459,136463,0,0
4332,2018-08-31,144.328,144.703,143.497,143.966,154713,0,0
4333,2018-09-03,143.442,143.72,142.84,143.014,97432,0,0
4334,2018-09-04,142.902,143.381,142.596,143.285,122886,0,0
4335,2018-09-05,143.144,144.966,142.656,143.934,147652,0,0
4336,2018-09-06,143.901,144.244,142.943,143.129,138621,0,0
4337,2018-09-07,143.174,144.437,142.61,143.445,161540,0,0
4338,2018-09-10,143.522,145.034,143.073,144.753,107929,0,0
4339,2018-09-11,144.727,145.92,144.35,145.426,116375,0,0
4340,2018-09-12,145.439,145.635,144.679,145.163,111924,0,0
4341,2018-09-13,145.105,146.817,145.018,146.698,92195,0,0
4342,2018-09-14,146.691,147.018,146.258,146.432,81567,0,0
4343,2018-09-17,146.398,147.466,146.317,147.183,103411,0,0
4344,2018-09-18,147.148,147.918,146.786,147.72,136286,0,0
4345,2018-09-19,147.708,148.537,147.194,147.621,124513,0,0
4346,2018-09-20,147.55,149.291,147.349,149.279,110943,0,0
4347,2018-09-21,149.213,149.718,146.987,147.27,103336,0,0
4348,2018-09-24,147.028,148.307,146.947,147.967,100793,0,0
4349,2018-09-25,147.934,149.024,147.81,148.925,116243,0,0
4350,2018-09-26,148.886,149.096,148.28,148.436,125553,0,0
4351,2018-09-27,148.388,148.735,147.597,148.321,136148,0,0
4352,2018-09-28,148.232,148.646,147.541,148.13,124098,0,0
4353,2018-10-01,148.284,149.413,148.17,148.63,109134,0,0
4354,2018-10-02,148.546,148.724,147.197,147.538,128609,0,0
4355,2018-10-03,147.479,148.586,147.266,148.195,169085,0,0
4356,2018-10-04,148.178,148.635,147.709,148.362,184549,0,0
4357,2018-10-05,148.303,149.27,148.081,149.158,133117,0,0
4358,2018-10-08,149.314,149.514,147.496,148.255,151551,0,0
4359,2018-10-09,148.211,148.754,147.349,148.473,192092,0,0
4360,2018-10-10,148.457,149.307,148.059,148.076,204938,0,0
4361,2018-10-11,148.074,148.784,147.819,148.452,314751,0,0
4362,2018-10-12,148.401,149.006,147.164,147.595,226205,0,0
4363,2018-10-15,146.727,147.425,146.51,146.994,197823,0,0
4364,2018-10-16,146.995,148.406,146.904,148.006,180614,0,0
4365,2018-10-17,147.987,148.254,147.056,147.753,178594,0,0
4366,2018-10-18,147.736,147.79,145.816,146.038,191694,0,0
4367,2018-10-19,146.03,147.335,146.017,147.048,183744,0,0
4368,2018-10-22,147.174,147.582,146.044,146.274,176940,0,0
4369,2018-10-23,146.272,146.408,145.291,145.988,220776,0,0
4370,2018-10-24,145.974,146.307,144.434,144.57,232971,0,0
4371,2018-10-25,144.577,145.035,144.035,144.065,218754,0,0
4372,2018-10-26,144.062,144.198,142.772,143.542,304286,0,0
4373,2018-10-29,143.414,144.408,143.341,143.758,208884,0,0
